"","date_1","date_2","valid","area","mid","month","year","time","cumulative"
"62",2018-08-21,2018-09-01,2,0.294823955106549,2018-08-27,8,2018,11,10.1549912511846
"63",2017-08-28,2017-09-01,2,0.300392790835712,2017-08-30,8,2017,4,10.4553840420203
"64",2017-06-18,2017-06-29,2,0.302967369688465,2017-06-24,6,2017,11,10.7583514117087
"65",2018-09-09,2018-09-16,1,0.303560704731103,2018-09-13,9,2018,7,11.0619121164399
"66",2017-06-21,2017-06-29,1,0.327415053757094,2017-06-25,6,2017,8,11.3893271701969
"67",2017-06-21,2017-06-29,2,0.336459012217377,2017-06-25,6,2017,8,11.7257861824143
"68",2017-02-15,2017-02-23,1,0.343122948326205,2017-02-19,2,2017,8,12.0689091307405
"69",2017-02-15,2017-02-23,1,0.349022681011911,2017-02-19,2,2017,8,12.4179318117524
"70",2017-10-10,2017-10-13,1,0.351079898056731,2017-10-12,10,2017,3,12.7690117098092
"71",NA,NA,0,0.355473528305278,NA,NA,NA,NA,13.1244852381145
"72",2017-10-10,2017-10-24,2,0.359740778418351,2017-10-17,10,2017,14,13.4842260165328
"73",NA,NA,0,0.367195887728222,NA,NA,NA,NA,13.851421904261
"74",2018-02-07,2018-02-10,2,0.380737720448169,2018-02-09,2,2018,3,14.2321596247092
"75",2017-11-10,2017-11-11,2,0.394262717373297,2017-11-10,11,2017,1,14.6264223420825
"76",2018-02-13,2018-02-18,2,0.396636479578679,2018-02-15,2,2018,5,15.0230588216612
"77",NA,NA,0,0.4214872375304,NA,NA,NA,NA,15.4445460591916
"78",2016-12-23,2017-01-07,2,0.431391930368263,2016-12-31,12,2016,15,15.8759379895598
"79",2018-07-18,2018-07-22,2,0.438576228304859,2018-07-20,7,2018,4,16.3145142178647
"80",2018-07-15,2018-08-26,2,0.441299373507779,2018-08-05,8,2018,42,16.7558135913725
"81",2018-05-14,2018-06-26,1,0.448724001538008,2018-06-05,6,2018,43,17.2045375929105
"82",2018-07-31,2018-08-08,2,0.457291034271382,2018-08-04,8,2018,8,17.6618286271819
"83",2015-12-28,2016-03-08,2,0.463145422751456,2016-02-02,2,2016,71,18.1249740499333
"84",NA,NA,0,0.466513724907837,NA,NA,NA,NA,18.5914877748412
"85",2018-07-15,2018-08-26,1,0.473943190919794,2018-08-05,8,2018,42,19.0654309657609
"86",2018-07-15,2018-08-26,2,0.495604694124404,2018-08-05,8,2018,42,19.5610356598854
"87",2017-11-29,2017-12-20,1,0.497408648517821,2017-12-09,12,2017,21,20.0584443084032
"88",2017-07-28,2017-09-06,1,0.498327686705173,2017-08-17,8,2017,40,20.5567719951083
"89",2018-02-22,2018-02-27,2,0.502627867317479,2018-02-24,2,2018,5,21.0593998624258
"90",2018-02-18,2018-02-25,2,0.504109116943693,2018-02-22,2,2018,7,21.5635089793695
"91",2017-04-05,2017-04-25,2,0.507039246624708,2017-04-15,4,2017,20,22.0705482259942
"92",2018-02-10,2018-02-14,2,0.510558689448563,2018-02-12,2,2018,4,22.5811069154428
"93",2018-08-01,2018-08-06,2,0.530683225265471,2018-08-03,8,2018,5,23.1117901407083
"94",2018-03-14,2018-03-17,2,0.537616452360526,2018-03-16,3,2018,3,23.6494065930688
"95",2018-02-01,2018-02-09,2,0.556503279720247,2018-02-05,2,2018,8,24.205909872789
"96",2018-09-12,2018-09-22,2,0.563045004998613,2018-09-17,9,2018,10,24.7689548777876
"97",2017-05-09,2017-05-15,2,0.569651054426655,2017-05-12,5,2017,6,25.3386059322143
"98",NA,NA,0,0.570162488113943,NA,NA,NA,NA,25.9087684203282
"99",2018-08-21,2018-08-23,2,0.57088071921732,2018-08-22,8,2018,2,26.4796491395456
"100",2016-11-23,2017-02-01,2,0.579173332561925,2016-12-28,12,2016,70,27.0588224721075
"101",2017-05-21,2017-05-26,2,0.591274276047712,2017-05-23,5,2017,5,27.6500967481552
"102",2017-05-21,2017-05-26,2,0.600732882905658,2017-05-23,5,2017,5,28.2508296310609
"103",2017-01-30,2017-02-22,2,0.615119151106803,2017-02-11,2,2017,23,28.8659487821677
"104",2018-02-05,2018-02-09,2,0.615551418055035,2018-02-07,2,2018,4,29.4815002002227
"105",2017-05-15,2017-06-06,2,0.620257271794579,2017-05-26,5,2017,22,30.1017574720173
"106",2017-06-05,2017-07-03,2,0.627990335969906,2017-06-19,6,2017,28,30.7297478079872
"107",NA,NA,0,0.633852268225909,NA,NA,NA,NA,31.3636000762131
"108",2018-12-02,2018-12-10,2,0.634068182269856,2018-12-06,12,2018,8,31.9976682584829
"109",2016-12-23,2017-01-23,1,0.63924574266593,2017-01-08,1,2017,31,32.6369140011489
"110",2018-02-04,2018-02-09,2,0.650392674527969,2018-02-06,2,2018,5,33.2873066756768
"111",2018-12-02,2018-12-10,2,0.651005981354183,2018-12-06,12,2018,8,33.938312657031
"112",2017-03-16,2017-03-29,2,0.653940209994215,2017-03-22,3,2017,13,34.5922528670252
"113",2017-03-05,2017-03-19,2,0.668930893525877,2017-03-12,3,2017,14,35.2611837605511
"114",2017-03-05,2017-03-19,2,0.674401633818448,2017-03-12,3,2017,14,35.9355853943696
"115",2016-06-15,2016-07-14,2,0.695240802473761,2016-06-29,6,2016,29,36.6308261968433
"116",2016-06-15,2016-07-14,2,0.708128617042769,2016-06-29,6,2016,29,37.3389548138861
"117",2017-06-05,2017-07-05,2,0.714388473832794,2017-06-20,6,2017,30,38.0533432877189
"118",2017-06-05,2017-07-03,2,0.728066839293018,2017-06-19,6,2017,28,38.7814101270119
"119",2016-05-18,2016-05-26,2,0.73710347334668,2016-05-22,5,2016,8,39.5185136003586
"120",2016-08-23,2016-09-14,1,0.747182469422251,2016-09-03,9,2016,22,40.2656960697808
"121",2016-10-23,2016-10-31,2,0.747222650706395,2016-10-27,10,2016,8,41.0129187204872
"122",2016-08-23,2016-09-14,2,0.748594848591462,2016-09-03,9,2016,22,41.7615135690787
"123",2016-08-23,2016-09-14,1,0.754030850351276,2016-09-03,9,2016,22,42.51554441943
"124",2017-03-22,2017-04-02,2,0.75802564349696,2017-03-28,3,2017,11,43.2735700629269
"125",2016-08-23,2016-09-14,2,0.763935290388414,2016-09-03,9,2016,22,44.0375053533153
"126",2016-03-27,2016-05-19,2,0.770346915665921,2016-04-22,4,2016,53,44.8078522689813
"127",2016-04-02,2016-05-18,2,0.775107420576457,2016-04-25,4,2016,46,45.5829596895577
"128",2016-04-02,2016-05-18,2,0.776997822104767,2016-04-25,4,2016,46,46.3599575116625
"129",2016-08-24,2016-09-13,2,0.788089826509357,2016-09-03,9,2016,20,47.1480473381718
"130",2016-11-22,2016-11-26,2,0.819756082701869,2016-11-24,11,2016,4,47.9678034208737
"131",2016-11-07,2016-11-18,1,0.823958883719426,2016-11-13,11,2016,11,48.7917623045931
"132",2016-11-07,2016-11-18,1,0.831242681219801,2016-11-13,11,2016,11,49.6230049858129
"133",2016-08-24,2016-08-31,2,0.835876728577539,2016-08-28,8,2016,7,50.4588817143905
